fvcmean_id,region_id,region_name,year,fvc_mean
0679,530927,沧源佤族自治县,2017,0.7615
0680,530524,昌宁县,2017,0.7475
0681,530114,呈贡区,2017,0.4614
0682,530481,澄江市,2017,0.5665
0683,532301,楚雄市,2017,0.739
0684,530624,大关县,2017,0.9186
0685,532901,大理市,2017,0.6184
0686,532326,大姚县,2017,0.7513
0687,533422,德钦县,2017,0.6176
0688,530113,东川区,2017,0.7338
0689,530426,峨山彝族自治县,2017,0.7405
0690,532930,洱源县,2017,0.7725
0691,530921,凤庆县,2017,0.7218
0692,533323,福贡县,2017,0.7968
0693,530124,富民县,2017,0.7702
0694,532628,富宁县,2017,0.8476
0695,530325,富源县,2017,0.8221
0696,532501,个旧市,2017,0.7589
0697,530926,耿马傣族佤族自治县,2017,0.757
0698,533324,贡山独龙族怒族自治县,2017,0.7258
0699,530702,古城区,2017,0.7619
0700,530111,官渡区,2017,0.5295
0701,532627,广南县,2017,0.8366
0702,532532,河口瑶族自治县,2017,0.8239
0703,532932,鹤庆县,2017,0.7398
0704,532529,红河县,2017,0.7908
0705,530402,红塔区,2017,0.672
0706,530424,华宁县,2017,0.72
0707,530723,华坪县,2017,0.7078
0708,530326,会泽县,2017,0.7676
0709,532524,建水县,2017,0.7169
0710,532931,剑川县,2017,0.774
0711,530826,江城哈尼族彝族自治县,2017,0.8496
0712,530403,江川区,2017,0.5718
0713,532530,金平苗族瑶族傣族自治县,2017,0.8447
0714,530115,晋宁区,2017,0.6358
0715,530823,景东彝族自治县,2017,0.8142
0716,530824,景谷傣族彝族自治县,2017,0.8026
0717,532801,景洪市,2017,0.8361
0718,532502,开远市,2017,0.7677
0719,533325,兰坪白族普米族自治县,2017,0.7749
0720,530828,澜沧拉祜族自治县,2017,0.7479
0721,533122,梁河县,2017,0.7793
0722,530902,临翔区,2017,0.7153
0723,530523,龙陵县,2017,0.77
0724,530502,隆阳区,2017,0.7136
0725,533124,陇川县,2017,0.7872
0726,533301,泸水市,2017,0.8306
0727,532527,泸西县,2017,0.7333
0728,530621,鲁甸县,2017,0.7872
0729,530322,陆良县,2017,0.655
0730,532302,禄丰市,2017,0.7357
0731,530128,禄劝彝族苗族自治县,2017,0.7856
0732,530324,罗平县,2017,0.7748
0733,532531,绿春县,2017,0.8329
0734,532624,麻栗坡县,2017,0.8466
0735,532625,马关县,2017,0.8222
0736,530304,马龙区,2017,0.7406
0737,533103,芒市,2017,0.772
0738,532503,蒙自市,2017,0.7737
0739,532822,勐海县,2017,0.7917
0740,532823,勐腊县,2017,0.8617
0741,530827,孟连傣族拉祜族佤族自治县,2017,0.6849
0742,532925,弥渡县,2017,0.713
0743,532504,弥勒市,2017,0.7403
0744,530822,墨江哈尼族自治县,2017,0.8202
0745,532323,牟定县,2017,0.7104
0746,532324,南华县,2017,0.7389
0747,532926,南涧彝族自治县,2017,0.7286
0748,530821,宁洱哈尼族彝族自治县,2017,0.8451
0749,530724,宁蒗彝族自治县,2017,0.774
0750,530103,盘龙区,2017,0.7408
0751,532523,屏边苗族自治县,2017,0.8447
0752,530302,麒麟区,2017,0.7262
0753,530622,巧家县,2017,0.7804
0754,532626,丘北县,2017,0.8153
0755,533102,瑞丽市,2017,0.7474
0756,530323,师宗县,2017,0.8134
0757,530521,施甸县,2017,0.7183
0758,530126,石林彝族自治县,2017,0.6914
0759,532525,石屏县,2017,0.719
0760,532322,双柏县,2017,0.7327
0761,530925,双江拉祜族佤族布朗族傣族自治县,2017,0.7523
0762,530681,水富市,2017,0.8621
0763,530802,思茅区,2017,0.7999
0764,530127,嵩明县,2017,0.657
0765,530626,绥江县,2017,0.8431
0766,530581,腾冲市,2017,0.767
0767,530423,通海县,2017,0.6231
0768,530629,威信县,2017,0.904
0769,532927,巍山彝族回族自治县,2017,0.7051
0770,533423,维西傈僳族自治县,2017,0.8144
0771,532601,文山市,2017,0.7808
0772,530102,五华区,2017,0.6724
0773,532329,武定县,2017,0.7601
0774,532623,西畴县,2017,0.85
0775,530829,西盟佤族自治县,2017,0.7338
0776,530112,西山区,2017,0.5884
0777,533401,香格里拉市,2017,0.7132
0778,532923,祥云县,2017,0.6951
0779,530427,新平彝族傣族自治县,2017,0.7523
0780,530381,宣威市,2017,0.8224
0781,530129,寻甸回族彝族自治县,2017,0.7906
0782,530623,盐津县,2017,0.8678
0783,532622,砚山县,2017,0.7796
0784,532922,漾濞彝族自治县,2017,0.7747
0785,532325,姚安县,2017,0.7437
0786,530125,宜良县,2017,0.7246
0787,530628,彝良县,2017,0.9061
0788,530425,易门县,2017,0.7509
0789,533123,盈江县,2017,0.7823
0790,530923,永德县,2017,0.7436
0791,532928,永平县,2017,0.7146
0792,532327,永仁县,2017,0.6787
0793,530625,永善县,2017,0.8654
0794,530722,永胜县,2017,0.7183
0795,530721,玉龙纳西族自治县,2017,0.7613
0796,530428,元江哈尼族彝族傣族自治县,2017,0.764
0797,532328,元谋县,2017,0.5906
0798,532528,元阳县,2017,0.8198
0799,532929,云龙县,2017,0.7637
0800,530922,云县,2017,0.7785
0801,530303,沾益区,2017,0.767
0802,530602,昭阳区,2017,0.7907
0803,530924,镇康县,2017,0.7839
0804,530627,镇雄县,2017,0.9044
0805,530825,镇沅彝族哈尼族拉祜族自治县,2017,0.8156
0806,530181,安宁市,2018,0.6854
0807,532924,宾川县,2018,0.6299
0808,530927,沧源佤族自治县,2018,0.7624
0809,530524,昌宁县,2018,0.728
0810,530114,呈贡区,2018,0.4909
0811,530481,澄江市,2018,0.5873
0812,532301,楚雄市,2018,0.6976
0813,530624,大关县,2018,0.9184
0814,532901,大理市,2018,0.5819
0815,532326,大姚县,2018,0.7242
0816,533422,德钦县,2018,0.6262
0817,530113,东川区,2018,0.717
0818,530426,峨山彝族自治县,2018,0.6931
0819,532930,洱源县,2018,0.756
0820,530921,凤庆县,2018,0.71
0821,533323,福贡县,2018,0.8215
0822,530124,富民县,2018,0.7542
0823,532628,富宁县,2018,0.8508
0824,530325,富源县,2018,0.7963
0825,532501,个旧市,2018,0.7673
0826,530926,耿马傣族佤族自治县,2018,0.7673
0827,533324,贡山独龙族怒族自治县,2018,0.6989
0828,530702,古城区,2018,0.724
0829,530111,官渡区,2018,0.5291
0830,532627,广南县,2018,0.814
0831,532532,河口瑶族自治县,2018,0.8293
0832,532932,鹤庆县,2018,0.7117
0833,532529,红河县,2018,0.7794
0834,530402,红塔区,2018,0.6681
0835,530424,华宁县,2018,0.7239
0836,530723,华坪县,2018,0.665
0837,530326,会泽县,2018,0.7624
0838,532524,建水县,2018,0.7037
0839,532931,剑川县,2018,0.7604
0840,530826,江城哈尼族彝族自治县,2018,0.8515
0841,530403,江川区,2018,0.5797
0842,532530,金平苗族瑶族傣族自治县,2018,0.842
0843,530115,晋宁区,2018,0.6246
0844,530823,景东彝族自治县,2018,0.7954
0845,530824,景谷傣族彝族自治县,2018,0.7775
0846,532801,景洪市,2018,0.823
0847,532502,开远市,2018,0.7488
0848,533325,兰坪白族普米族自治县,2018,0.7737
0849,530828,澜沧拉祜族自治县,2018,0.7211
0850,533122,梁河县,2018,0.8317
0851,530902,临翔区,2018,0.7254
0852,530523,龙陵县,2018,0.8149
0853,530502,隆阳区,2018,0.733
0854,533124,陇川县,2018,0.8304
0855,533301,泸水市,2018,0.8672
0856,532527,泸西县,2018,0.7186
0857,530621,鲁甸县,2018,0.7733
0858,530322,陆良县,2018,0.6772
0859,532302,禄丰市,2018,0.7134
0860,530128,禄劝彝族苗族自治县,2018,0.7673
0861,530324,罗平县,2018,0.7191
0862,532531,绿春县,2018,0.839
0863,532624,麻栗坡县,2018,0.8344
0864,532625,马关县,2018,0.8178
0865,530304,马龙区,2018,0.7769
0866,533103,芒市,2018,0.8207
0867,532503,蒙自市,2018,0.7462
0868,532822,勐海县,2018,0.7879
