coverage_id,region_id,region_name,level,year,fvc_level,area_km2,level_name
0348,530322,陆良县,3,2013,中,498.3516,县级
0349,530322,陆良县,3,2013,中高,611.4906,县级
0350,530322,陆良县,3,2013,高,410.2983,县级
0351,532302,禄丰市,3,2013,低,318.0321,县级
0352,532302,禄丰市,3,2013,中低,446.4423,县级
0353,532302,禄丰市,3,2013,中,695.8413,县级
0354,532302,禄丰市,3,2013,中高,1217.8926,县级
0355,532302,禄丰市,3,2013,高,879.7401,县级
0356,530128,禄劝彝族苗族自治县,3,2013,低,226.3851,县级
0357,530128,禄劝彝族苗族自治县,3,2013,中低,369.7686,县级
0358,530128,禄劝彝族苗族自治县,3,2013,中,869.8626,县级
0359,530128,禄劝彝族苗族自治县,3,2013,中高,1608.9084,县级
0360,530128,禄劝彝族苗族自治县,3,2013,高,1167.7734,县级
0361,530324,罗平县,3,2013,低,439.9524,县级
0362,530324,罗平县,3,2013,中低,306.7659,县级
0363,530324,罗平县,3,2013,中,506.8512,县级
0364,530324,罗平县,3,2013,中高,838.0917,县级
0365,530324,罗平县,3,2013,高,923.922,县级
0366,532531,绿春县,3,2013,低,37.7505,县级
0367,532531,绿春县,3,2013,中低,61.3206,县级
0368,532531,绿春县,3,2013,中,209.0475,县级
0369,532531,绿春县,3,2013,中高,718.299,县级
0370,532531,绿春县,3,2013,高,2077.8687,县级
0371,532624,麻栗坡县,3,2013,低,62.388,县级
0372,532624,麻栗坡县,3,2013,中低,81.6903,县级
0373,532624,麻栗坡县,3,2013,中,251.46,县级
0374,532624,麻栗坡县,3,2013,中高,728.8794,县级
0375,532624,麻栗坡县,3,2013,高,1223.1153,县级
0376,532625,马关县,3,2013,低,78.0246,县级
0377,532625,马关县,3,2013,中低,131.0643,县级
0378,532625,马关县,3,2013,中,341.4825,县级
0379,532625,马关县,3,2013,中高,743.2506,县级
0380,532625,马关县,3,2013,高,1372.1868,县级
0381,530304,马龙区,3,2013,低,55.2897,县级
0382,530304,马龙区,3,2013,中低,154.1574,县级
0383,530304,马龙区,3,2013,中,396.0801,县级
0384,530304,马龙区,3,2013,中高,597.4479,县级
