region_code,region_name,year,temp_mean,pre_mean
532530,金平苗族瑶族傣族自治县,2017,8.988,490.9646
530115,晋宁区,2017,7.268,322.5649
530823,景东彝族自治县,2017,9.491,379.8487
530824,景谷傣族彝族自治县,2017,11.987,552.2517
532801,景洪市,2017,10.81,565.3431
532502,开远市,2017,10.325,464.6908
533325,兰坪白族普米族自治县,2017,6.524,397.9325
530828,澜沧拉祜族自治县,2017,11.388,605.8521
533122,梁河县,2017,10.065,579.1492
530902,临翔区,2017,9.163,425.9605
530523,龙陵县,2017,8.253,427.3962
530502,隆阳区,2017,11.127,537.6777
533124,陇川县,2017,10.045,596.939
533301,泸水市,2017,6.75,443.7706
532527,泸西县,2017,9.417,440.2699
530621,鲁甸县,2017,6.958,359.1077
530322,陆良县,2017,8.093,401.2995
532302,禄丰市,2017,10.766,387.1455
530128,禄劝彝族苗族自治县,2017,8.561,368.7047
530324,罗平县,2017,6.865,386.0297
532531,绿春县,2017,11.074,543.7579
532624,麻栗坡县,2017,7.332,475.9237
532625,马关县,2017,10.312,714.8008
530304,马龙区,2017,9.959,479.3355
533103,芒市,2017,12.86,693.9394
532503,蒙自市,2017,9.993,572.9283
532822,勐海县,2017,13.152,696.5518
532823,勐腊县,2017,14.209,765.5935
530827,孟连傣族拉祜族佤族自治县,2017,13.333,621.4586
532925,弥渡县,2017,6.917,254.751
532504,弥勒市,2017,9.977,414.2334
530822,墨江哈尼族自治县,2017,8.955,403.3491
532323,牟定县,2017,7.938,260.2096
532324,南华县,2017,8.202,302.8949
532926,南涧彝族自治县,2017,9.484,369.747
530821,宁洱哈尼族彝族自治县,2017,7.795,390.5783
530724,宁蒗彝族自治县,2017,5.127,246.47
530103,盘龙区,2017,8.406,403.9798
532523,屏边苗族自治县,2017,9.559,611.9862
530302,麒麟区,2017,7.953,426.6745
530622,巧家县,2017,8.008,398.888
532626,丘北县,2017,10.775,546.6545
533102,瑞丽市,2017,9.237,484.6387
530323,师宗县,2017,7.494,387.3296
530521,施甸县,2017,10.446,488.3585
530126,石林彝族自治县,2017,10.06,457.2827
532525,石屏县,2017,11.015,467.8947
532322,双柏县,2017,10.107,368.4996
530925,双江拉祜族佤族布朗族傣族自治县,2017,10.675,506.7895
530681,水富市,2017,7.079,380.6355
530802,思茅区,2017,9.926,514.9641
530127,嵩明县,2017,8.032,366.0069
530626,绥江县,2017,7.332,397.0274
530581,腾冲市,2017,9.322,581.5929
530423,通海县,2017,9.035,392.7686
530629,威信县,2017,8.302,471.0517
532927,巍山彝族回族自治县,2017,11.055,433.041
533423,维西傈僳族自治县,2017,4.492,296.5032
532601,文山市,2017,10.2,646.6285
530102,五华区,2017,8.156,360.9494
532329,武定县,2017,8.518,321.7368
532623,西畴县,2017,7.749,498.7528
530829,西盟佤族自治县,2017,12.062,581.3493
530112,西山区,2017,7.472,329.7119
533401,香格里拉市,2017,3.36,273.6643
532923,祥云县,2017,8.515,308.1155
530427,新平彝族傣族自治县,2017,9.169,374.1423
530381,宣威市,2017,8.66,493.9326
530129,寻甸回族彝族自治县,2017,8.339,393.4931
530623,盐津县,2017,10.974,559.1026
532622,砚山县,2017,7.896,449.6296
532922,漾濞彝族自治县,2017,7.303,316.8578
532325,姚安县,2017,9.137,333.4905
530125,宜良县,2017,7.362,318.8402
530628,彝良县,2017,5.932,323.2061
530425,易门县,2017,11.398,432.9171
533123,盈江县,2017,9.831,691.8086
530923,永德县,2017,10.637,513.7188
532928,永平县,2017,9.254,404.3606
532327,永仁县,2017,10.138,310.4416
530625,永善县,2017,4.617,250.313
530722,永胜县,2017,8.069,281.3692
530721,玉龙纳西族自治县,2017,4.5,230.0473
530428,元江哈尼族彝族傣族自治县,2017,11.81,505.7976
532328,元谋县,2017,10.036,256.5535
532528,元阳县,2017,10.539,516.4719
532929,云龙县,2017,6.728,375.256
530922,云县,2017,8.965,377.5065
530303,沾益区,2017,8.878,458.3124
530602,昭阳区,2017,6.08,347.9686
530924,镇康县,2017,10.288,509.6637
530627,镇雄县,2017,8.655,515.9546
530825,镇沅彝族哈尼族拉祜族自治县,2017,7.677,332.962
530181,安宁市,2018,7.229,287.9016
532924,宾川县,2018,8.621,331.737
530927,沧源佤族自治县,2018,12.234,718.4422
530524,昌宁县,2018,8.249,390.7932
530114,呈贡区,2018,8.92,362.4257
530481,澄江市,2018,8.853,342.8502
532301,楚雄市,2018,8.999,331.3583
530624,大关县,2018,7.782,389.6256
532901,大理市,2018,7.68,362.6315
532326,大姚县,2018,8.729,322.2625
533422,德钦县,2018,2.038,245.0224
530113,东川区,2018,6.466,286.3231
530426,峨山彝族自治县,2018,8.21,281.9957
532930,洱源县,2018,6.426,361.9322
530921,凤庆县,2018,9.553,451.0653
533323,福贡县,2018,7.345,653.8154
530124,富民县,2018,7.336,297.1318
532628,富宁县,2018,10.247,459.9385
530325,富源县,2018,5.514,290.7814
532501,个旧市,2018,7.46,332.5847
530926,耿马傣族佤族自治县,2018,9.028,505.1452
533324,贡山独龙族怒族自治县,2018,4.22,462.0189
530702,古城区,2018,5.902,283.0506
530111,官渡区,2018,6.44,273.4088
532627,广南县,2018,11.709,533.6401
532532,河口瑶族自治县,2018,5.838,301.5474
532932,鹤庆县,2018,9.568,411.2598
532529,红河县,2018,12.373,590.8546
530402,红塔区,2018,8.993,341.2451
530424,华宁县,2018,9.934,366.1077
530723,华坪县,2018,10.642,367.6631
530326,会泽县,2018,6.827,344.554
532524,建水县,2018,10.452,385.0119
532931,剑川县,2018,8.117,487.0194
530826,江城哈尼族彝族自治县,2018,9.706,485.1238
530403,江川区,2018,11.18,433.2979
532530,金平苗族瑶族傣族自治县,2018,8.8,458.8304
530115,晋宁区,2018,7.157,293.447
530823,景东彝族自治县,2018,9.398,396.4758
530824,景谷傣族彝族自治县,2018,11.891,593.8681
532801,景洪市,2018,10.678,584.4531
532502,开远市,2018,10.17,379.6149
533325,兰坪白族普米族自治县,2018,6.504,459.5689
530828,澜沧拉祜族自治县,2018,11.389,671.8292
533122,梁河县,2018,10.191,760.0824
530902,临翔区,2018,9.095,484.9229
530523,龙陵县,2018,8.237,524.9027
530502,隆阳区,2018,11.135,649.215
533124,陇川县,2018,10.085,767.2077
533301,泸水市,2018,6.741,539.1974
532527,泸西县,2018,9.239,351.3335
530621,鲁甸县,2018,6.831,357.1099
530322,陆良县,2018,8.003,331.2281
532302,禄丰市,2018,10.663,378.5754
530128,禄劝彝族苗族自治县,2018,8.483,363.7116
530324,罗平县,2018,6.749,308.5481
532531,绿春县,2018,10.886,544.3249
532624,麻栗坡县,2018,7.172,416.6463
532625,马关县,2018,10.134,645.5358
530304,马龙区,2018,9.856,416.78
533103,芒市,2018,12.825,870.4402
532503,蒙自市,2018,9.836,487.4751
532822,勐海县,2018,13.07,761.5601
532823,勐腊县,2018,14.028,813.6429
530827,孟连傣族拉祜族佤族自治县,2018,13.337,739.6389
532925,弥渡县,2018,6.859,277.9091
532504,弥勒市,2018,9.818,330.5512
530822,墨江哈尼族自治县,2018,8.849,411.8051
532323,牟定县,2018,7.818,260.1116
532324,南华县,2018,8.097,317.0769
532926,南涧彝族自治县,2018,9.406,394.5368
530821,宁洱哈尼族彝族自治县,2018,7.696,390.3942
530724,宁蒗彝族自治县,2018,5.043,281.7353
530103,盘龙区,2018,8.262,381.9452
532523,屏边苗族自治县,2018,9.418,528.5245
530302,麒麟区,2018,7.849,357.6335
530622,巧家县,2018,7.885,401.6411
532626,丘北县,2018,10.54,450.2141
533102,瑞丽市,2018,9.322,623.833
530323,师宗县,2018,7.362,311.5945
530521,施甸县,2018,10.416,566.2608
530126,石林彝族自治县,2018,9.935,370.0718
532525,石屏县,2018,10.863,393.211
532322,双柏县,2018,9.987,354.1615
530925,双江拉祜族佤族布朗族傣族自治县,2018,10.643,605.99
530681,水富市,2018,7.085,354.0089
530802,思茅区,2018,9.815,540.0766
530127,嵩明县,2018,7.94,334.2962
530626,绥江县,2018,7.329,369.6434
530581,腾冲市,2018,9.347,757.5365
530423,通海县,2018,8.873,342.188
530629,威信县,2018,8.272,425.2262
532927,巍山彝族回族自治县,2018,11.031,480.6431
533423,维西傈僳族自治县,2018,4.554,344.5876
532601,文山市,2018,10.03,559.6521
530102,五华区,2018,8.033,344.7493
532329,武定县,2018,8.426,317.0083
532623,西畴县,2018,7.603,439.4978
530829,西盟佤族自治县,2018,12.058,702.9155
530112,西山区,2018,7.38,310.436
533401,香格里拉市,2018,3.289,323.9845
532923,祥云县,2018,8.419,333.6879
530427,新平彝族傣族自治县,2018,9.053,358.3391
530381,宣威市,2018,8.498,441.7896
530129,寻甸回族彝族自治县,2018,8.219,368.0194
530623,盐津县,2018,10.904,524.4029
532622,砚山县,2018,7.759,381.9928
532922,漾濞彝族自治县,2018,7.252,352.7181
532325,姚安县,2018,9.016,346.8983
530125,宜良县,2018,7.288,271.7197
530628,彝良县,2018,5.878,303.8945
530425,易门县,2018,11.231,410.7803
533123,盈江县,2018,9.881,870.6019
530923,永德县,2018,10.629,589.4812
532928,永平县,2018,9.247,456.1354
532327,永仁县,2018,10.014,318.1654
530625,永善县,2018,4.564,240.0783
530722,永胜县,2018,7.981,312.816
530721,玉龙纳西族自治县,2018,4.451,267.3475
530428,元江哈尼族彝族傣族自治县,2018,11.669,482.734
532328,元谋县,2018,9.922,254.0748
532528,元阳县,2018,10.356,475.0025
532929,云龙县,2018,6.7,422.6061
530922,云县,2018,8.925,413.2191
530303,沾益区,2018,8.699,403.1867
530602,昭阳区,2018,5.977,339.1745
530924,镇康县,2018,10.239,602.5607
530627,镇雄县,2018,8.605,474.5601
530825,镇沅彝族哈尼族拉祜族自治县,2018,7.601,338.2141
530181,安宁市,2019,7.135,310.7566
532924,宾川县,2019,8.603,335.7011
530927,沧源佤族自治县,2019,12.195,627.8482
530524,昌宁县,2019,8.227,360.2942
530114,呈贡区,2019,8.821,405.0984
530481,澄江市,2019,8.755,390.3249
532301,楚雄市,2019,8.969,335.8033
530624,大关县,2019,7.718,401.5074
532901,大理市,2019,7.659,359.5102
532326,大姚县,2019,8.699,323.9145
533422,德钦县,2019,2.038,236.8037
530113,东川区,2019,6.396,307.1642
530426,峨山彝族自治县,2019,8.127,316.5309
532930,洱源县,2019,6.406,350.3248
530921,凤庆县,2019,9.516,426.9489
533323,福贡县,2019,7.341,608.9888
530124,富民县,2019,7.253,315.9345
532628,富宁县,2019,10.178,506.2988
530325,富源县,2019,5.451,333.8398
532501,个旧市,2019,7.353,376.1373
530926,耿马傣族佤族自治县,2019,8.958,447.0543
533324,贡山独龙族怒族自治县,2019,4.245,429.0748
530702,古城区,2019,5.897,293.72
530111,官渡区,2019,6.37,300.8537
532627,广南县,2019,11.572,605.7009
532532,河口瑶族自治县,2019,5.764,328.9923
532932,鹤庆县,2019,9.543,423.3803
532529,红河县,2019,12.203,621.6042
530402,红塔区,2019,8.881,378.3941
530424,华宁县,2019,9.802,423.5308
530723,华坪县,2019,10.579,373.5431
530326,会泽县,2019,6.757,367.9781
532524,建水县,2019,10.312,444.5343
532931,剑川县,2019,8.112,484.3503
530826,江城哈尼族彝族自治县,2019,9.566,505.6555
530403,江川区,2019,11.03,483.056
532530,金平苗族瑶族傣族自治县,2019,8.73,495.6665
530115,晋宁区,2019,7.07,324.373
530823,景东彝族自治县,2019,9.344,391.1782
530824,景谷傣族彝族自治县,2019,11.83,579.3375
532801,景洪市,2019,10.508,594.1474
532502,开远市,2019,10.03,459.1825
533325,兰坪白族普米族自治县,2019,6.485,451.941
530828,澜沧拉祜族自治县,2019,11.347,641.7838
533122,梁河县,2019,10.155,637.1491
530902,临翔区,2019,9.005,450.9414
530523,龙陵县,2019,8.188,453.5629
530502,隆阳区,2019,11.093,568.7661
533124,陇川县,2019,10.029,612.0121
533301,泸水市,2019,6.706,477.8319
532527,泸西县,2019,9.139,425.866
530621,鲁甸县,2019,6.767,372.5995
530322,陆良县,2019,7.925,390.411
532302,禄丰市,2019,10.547,396.4891
530128,禄劝彝族苗族自治县,2019,8.392,388.1388
530324,罗平县,2019,6.688,360.1318
532531,绿春县,2019,10.782,573.7466
532624,麻栗坡县,2019,7.096,478.5571
532625,马关县,2019,9.977,724.4958
530304,马龙区,2019,9.75,471.2435
533103,芒市,2019,12.735,721.2464
532503,蒙自市,2019,9.675,570.5406
532822,勐海县,2019,12.907,756.6216
532823,勐腊县,2019,13.847,817.4201
530827,孟连傣族拉祜族佤族自治县,2019,13.262,690.8034
532925,弥渡县,2019,6.849,272.8488
532504,弥勒市,2019,9.698,401.0902
530822,墨江哈尼族自治县,2019,8.758,418.0106
532323,牟定县,2019,7.775,266.0581
532324,南华县,2019,8.086,315.8141
532926,南涧彝族自治县,2019,9.345,384.3791
530821,宁洱哈尼族彝族自治县,2019,7.616,402.4125
530724,宁蒗彝族自治县,2019,5.004,286.363
530103,盘龙区,2019,8.169,412.4337
532523,屏边苗族自治县,2019,9.262,610.0514
530302,麒麟区,2019,7.769,412.4428
530622,巧家县,2019,7.822,419.8236
